文件绝对路径,求解结果(kissat),求解结果(neurobranch),求解总时间(kissat),求解总时间(neurobranch),decision时间(kissat),decision时间(neurobranch),剩余时间(kissat),剩余时间(neurobranch),decision次数(kissat),decision次数(neurobranch),conflict次数(kissat),conflict次数(neurobranch)
/home/richard/project/SAT_benchmark/SATLIB/CBS_k3_n100_m403_b70/CBS_k3_n100_m403_b70_618.cnf,SAT,SAT,11.94,511880.66,0.05,511860.27,11.89,20.39,[YELLOW]1496,[YELLOW]1520,[GREEN]1252,[GREEN]1247
/home/richard/project/SAT_benchmark/SATLIB/CBS_k3_n100_m403_b70/CBS_k3_n100_m403_b70_689.cnf,SAT,SAT,10.52,500545.28,0.05,500529.54,10.47,15.74,[GREEN]1575,[GREEN]1458,[GREEN]1136,[GREEN]1031
/home/richard/project/SAT_benchmark/SATLIB/CBS_k3_n100_m403_b70/CBS_k3_n100_m403_b70_744.cnf,SAT,SAT,11.20,507611.59,0.05,507594.60,11.15,16.98,[GREEN]1532,[GREEN]1480,[GREEN]1129,[GREEN]1086
/home/richard/project/SAT_benchmark/SATLIB/CBS_k3_n100_m403_b70/CBS_k3_n100_m403_b70_752.cnf,SAT,SAT,11.70,446514.69,0.05,446495.56,11.65,19.13,[GREEN]1417,[GREEN]1327,[GREEN]1215,[GREEN]1156
/home/richard/project/SAT_benchmark/SATLIB/CBS_k3_n100_m403_b70/CBS_k3_n100_m403_b70_779.cnf,SAT,SAT,12.09,528307.96,0.05,528289.99,12.03,17.97,[GREEN]1718,[GREEN]1539,[GREEN]1312,[GREEN]1155
/home/richard/project/SAT_benchmark/SATLIB/CBS_k3_n100_m403_b70/CBS_k3_n100_m403_b70_78.cnf,SAT,SAT,11.31,503715.45,0.05,503697.16,11.26,18.29,[GREEN]1550,[GREEN]1466,[GREEN]1221,[GREEN]1140
/home/richard/project/SAT_benchmark/SATLIB/CBS_k3_n100_m403_b70/CBS_k3_n100_m403_b70_809.cnf,SAT,SAT,10.92,461974.44,0.05,461958.11,10.87,16.33,[GREEN]1442,[GREEN]1342,[GREEN]1197,[GREEN]1109
/home/richard/project/SAT_benchmark/SATLIB/CBS_k3_n100_m403_b70/CBS_k3_n100_m403_b70_826.cnf,SAT,SAT,12.15,518686.78,0.06,518668.81,12.09,17.97,[GREEN]1691,[GREEN]1522,[GREEN]1404,[GREEN]1229
/home/richard/project/SAT_benchmark/SATLIB/CBS_k3_n100_m403_b70/CBS_k3_n100_m403_b70_844.cnf,SAT,SAT,11.58,521455.96,0.06,521438.75,11.52,17.21,[GREEN]1810,[GREEN]1548,[GREEN]1307,[GREEN]1051
/home/richard/project/SAT_benchmark/SATLIB/CBS_k3_n100_m403_b70/CBS_k3_n100_m403_b70_901.cnf,SAT,SAT,11.46,400880.66,0.04,400863.02,11.42,17.64,[GREEN]1358,[GREEN]1180,[GREEN]1180,[GREEN]1024
/home/richard/project/SAT_benchmark/SATLIB/CBS_k3_n100_m403_b70/CBS_k3_n100_m403_b70_905.cnf,SAT,SAT,10.89,483602.70,0.05,483567.92,10.85,34.78,[YELLOW]1433,[YELLOW]1434,[GREEN]1140,[GREEN]1129
/home/richard/project/SAT_benchmark/SATLIB/CBS_k3_n100_m403_b70/CBS_k3_n100_m403_b70_921.cnf,SAT,SAT,11.39,487980.75,0.05,487963.41,11.35,17.33,[GREEN]1476,[GREEN]1443,[GREEN]1113,[GREEN]1075
/home/richard/project/SAT_benchmark/SATLIB/CBS_k3_n100_m403_b70/CBS_k3_n100_m403_b70_986.cnf,SAT,SAT,12.16,436325.96,0.04,436308.13,12.11,17.82,[GREEN]1363,[GREEN]1283,[GREEN]1129,[GREEN]1075
/home/richard/project/SAT_benchmark/SATLIB/CBS_k3_n100_m403_b90/CBS_k3_n100_m403_b90_115.cnf,SAT,SAT,11.34,542105.12,0.05,542088.22,11.29,16.89,[GREEN]1671,[GREEN]1576,[GREEN]1112,[GREEN]1020
/home/richard/project/SAT_benchmark/SATLIB/CBS_k3_n100_m403_b90/CBS_k3_n100_m403_b90_178.cnf,SAT,SAT,13.19,532169.33,0.07,532151.00,13.12,18.33,[GREEN]1961,[GREEN]1554,[GREEN]1640,[GREEN]1270
/home/richard/project/SAT_benchmark/SATLIB/CBS_k3_n100_m403_b90/CBS_k3_n100_m403_b90_203.cnf,SAT,SAT,11.09,527623.44,0.04,527606.33,11.05,17.11,[GREEN]1563,[GREEN]1545,[GREEN]1052,[GREEN]1025
/home/richard/project/SAT_benchmark/SATLIB/CBS_k3_n100_m403_b90/CBS_k3_n100_m403_b90_223.cnf,SAT,SAT,10.86,452892.78,0.05,452875.34,10.82,17.44,[GREEN]1486,[GREEN]1332,[GREEN]1174,[GREEN]1032
