文件绝对路径,求解结果(kissat),求解结果(neurobranch),求解总时间(kissat),求解总时间(neurobranch),decision时间(kissat),decision时间(neurobranch),剩余时间(kissat),剩余时间(neurobranch),decision次数(kissat),decision次数(neurobranch),conflict次数(kissat),conflict次数(neurobranch)
/home/richard/project/SAT_benchmark/SATLIB/CBS_k3_n100_m435_b90/CBS_k3_n100_m435_b90_808.cnf,SAT,SAT,14.61,148065.20,0.04,148045.91,14.58,19.29,1275,1344,1048,1092
/home/richard/project/SAT_benchmark/SATLIB/CBS_k3_n100_m435_b90/CBS_k3_n100_m435_b90_821.cnf,SAT,SAT,16.69,195703.44,0.07,195683.12,16.62,20.32,1703,1789,1284,1343
/home/richard/project/SAT_benchmark/SATLIB/CBS_k3_n100_m435_b90/CBS_k3_n100_m435_b90_874.cnf,SAT,SAT,14.29,205164.11,0.18,205144.62,14.11,19.49,1879,1867,1255,1252
/home/richard/project/SAT_benchmark/SATLIB/CBS_k3_n100_m435_b90/CBS_k3_n100_m435_b90_923.cnf,SAT,SAT,12.01,261406.65,0.06,261387.72,11.95,18.93,2172,2273,1161,1201
/home/richard/project/SAT_benchmark/SATLIB/CBS_k3_n100_m435_b90/CBS_k3_n100_m435_b90_936.cnf,SAT,SAT,12.70,180440.31,0.04,180422.62,12.65,17.68,1456,1646,1197,1321
/home/richard/project/SAT_benchmark/SATLIB/CBS_k3_n100_m435_b90/CBS_k3_n100_m435_b90_994.cnf,SAT,SAT,13.91,264461.48,0.06,264436.46,13.85,25.02,1715,2376,1441,2036
/home/richard/project/SAT_benchmark/SATLIB/CBS_k3_n100_m441_b50/CBS_k3_n100_m441_b50_49.cnf,SAT,SAT,17.76,170060.13,0.05,170040.87,17.72,19.26,1509,1549,1134,1161
/home/richard/project/SAT_benchmark/SATLIB/CBS_k3_n100_m441_b50/CBS_k3_n100_m441_b50_64.cnf,SAT,SAT,13.04,199617.84,0.05,199597.41,12.99,20.43,1427,1811,1206,1510
/home/richard/project/SAT_benchmark/SATLIB/CBS_k3_n100_m449_b70/CBS_k3_n100_m449_b70_397.cnf,SAT,SAT,14.25,210731.23,0.05,210710.84,14.20,20.38,1676,1918,1176,1374
/home/richard/project/SAT_benchmark/SATLIB/CBS_k3_n100_m449_b70/CBS_k3_n100_m449_b70_46.cnf,SAT,SAT,19.80,150251.42,0.07,150229.26,19.73,22.16,1730,1375,1470,1154
/home/richard/project/SAT_benchmark/SATLIB/CBS_k3_n100_m449_b70/CBS_k3_n100_m449_b70_501.cnf,SAT,SAT,16.20,185486.82,0.06,185465.22,16.14,21.60,1779,1694,1540,1436
